Year,State,SEIFA_Quintile,Actual,Adjusted
2012,NT,Q3,34.3754537273136,43.1988443819863
2012,NT,Q4,39.0323382040085,49.0510443095697
2012,NT,Q5,39.3909886805801,49.5017521387039
2012,Qld,Q1,25.90085292021,33.2741491310174
2012,Qld,Q2,29.5427059128658,37.9527425334886
2012,Qld,Q3,29.8808193665124,38.3871080547514
2012,Qld,Q4,29.0324377624932,37.2972143705893
2012,Qld,Q5,29.9961534175153,38.5352746971697
2012,SA,Q1,21.8169106337585,28.1511996070816
2012,SA,Q2,23.1707252756658,29.8980787530387
2012,SA,Q3,23.8384854832291,30.7597154535023
2012,SA,Q4,25.4650455116133,32.8585284706438
2012,SA,Q5,28.0254392486549,36.1623030688973
2012,Tas,Q1,27.4333646623195,36.2566510554812
2012,Tas,Q2,29.8690074235159,39.4756601262059
2012,Tas,Q3,28.7718838748543,38.0256729970948
2012,Tas,Q4,29.2408587739694,38.6454824692575
2012,Tas,Q5,30.9083721513095,40.8493116895065
2012,Vic,Q1,24.7976898599389,31.6707295494454
2012,Vic,Q2,25.3339133847052,32.3555752075226
2012,Vic,Q3,26.3327185436673,33.6312137142039
2012,Vic,Q4,28.0529918038912,35.8282856787062
2012,Vic,Q5,30.9203747991356,39.4904054918817
2012,WA,Q1,28.7618890623013,34.3954166487063
2012,WA,Q2,29.1075200649036,34.8087456312174
2012,WA,Q3,29.7287623108774,35.551669221659
2012,WA,Q4,30.6693399382389,36.6764757082383
2012,WA,Q5,32.1120273644551,38.4017391292559
2013,ACT,Q1,36.2884146341463,46.5472238981611
2013,ACT,Q4,34.3587239282048,44.0720056708225
2013,ACT,Q5,36.083425945949,46.284284487269
2013,Aus,Q1,26.5018069404427,33.260817711642
2013,Aus,Q2,28.4513632845751,35.7075881649355
2013,Aus,Q3,29.0640782691283,36.4765697463127
2013,Aus,Q4,30.2496666992695,37.9645301991444
2013,Aus,Q5,32.4123506337901,40.6787842224886
2013,NSW,Q1,25.1409521093091,31.6086161148248
2013,NSW,Q2,26.9526956127865,33.8864417377748
2013,NSW,Q3,27.3836944193575,34.4283176286965
2013,NSW,Q4,29.5820027615967,37.1921542642283
2013,NSW,Q5,31.8904247871293,40.0944320029082
2013,NT,Q1,37.4069998103707,46.9831503793961
2013,NT,Q2,39.8099122049289,50.0012056886793
2013,NT,Q3,36.8668691330757,46.3047468462467
2013,NT,Q4,40.1416689142617,50.4178917485871
2013,NT,Q5,40.9600093768032,51.4457264642297
2013,Qld,Q1,27.4997714062649,34.681686857697
2013,Qld,Q2,30.8514065271551,38.9086441660581
2013,Qld,Q3,31.5789477815605,39.8261920826781
2013,Qld,Q4,30.4690597496256,38.4264426592375
2013,Qld,Q5,31.4244399001863,39.6313325007674
2013,SA,Q1,23.2683531253167,29.3490280496876
2013,SA,Q2,24.4742811089557,30.8700989233808
2013,SA,Q3,25.4114762503389,32.0522095069853
2013,SA,Q4,26.7140486204494,33.6951806627535
2013,SA,Q5,29.2202595897934,36.8563350272917
2013,Tas,Q1,29.32718106291,38.408872237207
2013,Tas,Q2,31.1349319293231,40.7764258017933
2013,Tas,Q3,30.7491970478679,40.2712411491169
2013,Tas,Q4,31.2138745416906,40.8798144195397
2013,Tas,Q5,32.5229455025117,42.5942628411511
2013,Vic,Q1,25.9387921287949,32.5579261814257
2013,Vic,Q2,26.449676565246,33.199179547682
2013,Vic,Q3,27.6669150760511,34.7270364109932
2013,Vic,Q4,29.560933524485,37.1043758231054
2013,Vic,Q5,32.4755247212184,40.7627206126817
2013,WA,Q1,31.0893526308699,36.6160302866593
2013,WA,Q2,30.8332539801727,36.3144056095026
2013,WA,Q3,31.7186450860021,37.3571905118295
2013,WA,Q4,32.7039897775775,38.5176975026922
2013,WA,Q5,34.0122027246839,40.0584682437685
2014,ACT,Q1,37.2336196564123,46.9275979099942
2014,ACT,Q4,35.4603672290445,44.6926694321204
2014,ACT,Q5,37.0101061556896,46.6458914364856
2014,Aus,Q1,27.966264455705,34.7264398660049
2014,Aus,Q2,29.8455432613428,37.0599893659319
2014,Aus,Q3,30.4303169239591,37.7861180722608
2014,Aus,Q4,31.6030338863795,39.2423113060707
2014,Aus,Q5,33.8527660730942,42.0358624297934
2014,NSW,Q1,26.5679908828118,33.0542151259198
2014,NSW,Q2,28.4210618798873,35.359688944061
2014,NSW,Q3,28.7738065366568,35.7985515521072
2014,NSW,Q4,30.9181486336103,38.4664064640164
2014,NSW,Q5,33.3597210695866,41.5040565784061
2014,NT,Q1,38.6394925299476,48.6481793473635
2014,NT,Q2,39.9089219055866,50.2464256982191
2014,NT,Q3,38.8143659429632,48.8683497637549
2014,NT,Q4,40.9864471233619,51.6030594584841
2014,NT,Q5,41.5310384471196,52.2887148502741
2014,Qld,Q1,28.847390158238,36.0386667370965
2014,Qld,Q2,31.9978342511127,39.9744752838722
2014,Qld,Q3,32.6899598841157,40.8391387730535
2014,Qld,Q4,31.9451333784256,39.9086367737988
2014,Qld,Q5,32.9048685351366,41.1076213363142
2014,SA,Q1,24.4708995993709,30.6805361847427
2014,SA,Q2,25.9557896432017,32.5422259250449
2014,SA,Q3,26.599116384942,33.3488006608215
2014,SA,Q4,28.0769598865603,35.2016557568373
2014,SA,Q5,30.5361546283115,38.2848858176385
2014,Tas,Q1,31.1346406576034,40.3404102462618
2014,Tas,Q2,32.036052734399,41.5083483438544
2014,Tas,Q3,32.6643139749001,42.3223714270934
2014,Tas,Q4,32.6600670439145,42.3168687800537
2014,Tas,Q5,34.6967844548016,44.9557948821548
2014,Vic,Q1,27.5875241462518,34.3484426459808
2014,Vic,Q2,27.8728111899647,34.703645440065
2014,Vic,Q3,29.1280258589909,36.2664775680542
2014,Vic,Q4,30.8555170500526,38.4173277778466
2014,Vic,Q5,33.9803847424787,42.3080117747345
2014,WA,Q1,32.6024983505841,38.2456107434273
2014,WA,Q2,32.652002127832,38.3036830474143
